songNumber_x,songName_x,spanish_number,english_number,songNumber_y,songName_y
101,Guide Me to Thee,52.0,101.0,52.0,Guíame a Ti
101,Guide Me to Thee,52.0,101.0,52.0,Guíame a Ti
102,"Jesus, Lover of My Soul",53.0,102.0,53.0,"¡Oh Jesús, mi gran amor!"
103,"Precious Savior, Dear Redeemer",,,,
104,"Jesus, Savior, Pilot Me",51.0,104.0,51.0,"Guíame, oh Salvador"
105,"Master, the Tempest Is Raging",54.0,105.0,54.0,"Paz, cálmense"
106,God Speed the Right,55.0,106.0,55.0,Dios da valor
106,God Speed the Right,55.0,106.0,55.0,Dios da valor
107,"Lord, Accept Our True Devotion",,,,
108,The Lord Is My Shepherd,56.0,108.0,56.0,Jehová mi Pastor es
109,The Lord My Pasture Will Prepare,,,,
110,Cast Thy Burden upon the Lord,,,,
111,Rock of Ages,58.0,111.0,58.0,Roca de eternidad
112,"Savior, Redeemer of My Soul",,,,
113,Our Savior’s Love,57.0,113.0,57.0,El amor del Salvador
114,Come unto Him,,,,
115,"Come, Ye Disconsolate",,,,
116,"Come, Follow Me",61.0,116.0,61.0,Venid a Mí
117,Come unto Jesus,60.0,117.0,60.0,Venid a Cristo
118,Ye Simple Souls Who Stray,,,,
119,"Come, We That Love the Lord",64.0,119.0,64.0,"Venid, los que a Dios amáis"
120,Lean on My Ample Arm,,,,
121,"I’m a Pilgrim, I’m a Stranger",,,,
122,Though Deepening Trials,63.0,122.0,63.0,Aunque colmados de pesar
123,"Oh, May My Soul Commune with Thee",,,,
124,"Be Still, My Soul",,,,
125,How Gentle God’s Commands,66.0,125.0,66.0,Cuán dulce la ley de Dios
126,"How Long, O Lord Most Holy and True",,,,
127,Does the Journey Seem Long?,,,,
128,When Faith Endures,68.0,128.0,68.0,La fe
128,When Faith Endures,68.0,128.0,68.0,La fe
129,Where Can I Turn for Peace?,69.0,129.0,69.0,¿Dónde hallo el solaz?
130,Be Thou Humble,70.0,130.0,70.0,Sé humilde
131,More Holiness Give Me,71.0,131.0,71.0,Más santidad dame
132,God Is in His Holy Temple,,,,
133,Father in Heaven,82.0,133.0,82.0,Padre en los cielos
134,I Believe in Christ,72.0,134.0,72.0,Creo en Cristo
135,My Redeemer Lives,74.0,135.0,74.0,Vive mi Señor
135,My Redeemer Lives,74.0,135.0,74.0,Vive mi Señor
136,I Know That My Redeemer Lives,73.0,136.0,73.0,Yo sé que vive mi Señor
137,Testimony,75.0,137.0,75.0,Testimonio
137,Testimony,75.0,137.0,75.0,Testimonio
138,"Bless Our Fast, We Pray",,,,
139,In Fasting We Approach Thee,,,,
140,Did You Think to Pray?,81.0,140.0,81.0,¿Pensaste orar?
140,Did You Think to Pray?,81.0,140.0,81.0,¿Pensaste orar?
141,"Jesus, the Very Thought of Thee",76.0,141.0,76.0,Tan sólo con pensar en Ti
142,Sweet Hour of Prayer,78.0,142.0,78.0,"Oh dulce, grata oración"
143,Let the Holy Spirit Guide,77.0,143.0,77.0,Deja que el Espíritu te enseñe
144,Secret Prayer,80.0,144.0,80.0,Secreta oración
144,Secret Prayer,80.0,144.0,80.0,Secreta oración
145,Prayer Is the Soul’s Sincere Desire,79.0,145.0,79.0,La oración del alma es
146,Gently Raise the Sacred Strain,83.0,146.0,83.0,Entonad sagrado son
147,Sweet Is the Work,84.0,147.0,84.0,"Dulce Tu obra es, Señor"
148,Sabbath Day,,,,
149,As the Dew from Heaven Distilling,87.0,149.0,87.0,"Cual rocío, que destila"
150,O Thou Kind and Gracious Father,86.0,150.0,86.0,Nuestro bondadoso Padre
151,"We Meet, Dear Lord",,,,
152,God Be with You Till We Meet Again,89.0,152.0,89.0,Para siempre Dios esté con Vos
153,"Lord, We Ask Thee Ere We Part",90.0,153.0,90.0,"Padre, antes de partir"
154,"Father, This Hour Has Been One of Joy",,,,
155,We Have Partaken of Thy Love,92.0,155.0,92.0,Hemos sentido Tu amor
156,Sing We Now at Parting,91.0,156.0,91.0,Al partir cantemos
157,"Thy Spirit, Lord, Has Stirred Our Souls",95.0,157.0,95.0,El fuego del Espíritu
158,"Before Thee, Lord, I Bow My Head",93.0,158.0,93.0,"A Ti, Señor"
159,Now the Day Is Over,94.0,159.0,94.0,Ya termina el día
